"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
surgery_ortho_services_comment,screening_call,,notes,Comment,,,,,,,,,,,,,
perc_trained,screening_call,,yesno,"Out of the physicians involved in the initial resuscitation of trauma patients, are less than 25% trained in a formalised trauma life support training programme like ATLS or Primary Trauma Care?",,"Comment (like name of other training programme): {perc_trained_comment}",,,,,"[admits_trauma] = '1' and [interested] = '1' and [surgery_ortho_services] = '1' and ([volume] = '2' or [volume] = '3' or [volume] = '4')",y,,,,,
perc_trained_comment,screening_call,,notes,Comment,,,,,,,,,,,,,
info_not_fulfil,screening_call,,descriptive,"Unfortunately, the hospital does not fulfil the eligibility criteria and you may go ahead and submit the form.",,,,,,,"[admits_trauma] = '0' or [volume] = '1' or [surgery_ortho_services] = '0' or [perc_trained] = '0'",,,,,,
contact_details,screening_call,,descriptive,"<div class=""rich-text-field-label""><p>The hospital fulfills the cluster eligibility criteria. Please enter the hospital representative's contact details:</p> <table style=""border-collapse: collapse; width: 100%; height: 36px;"" border=""0""> <tbody> <tr style=""height: 18px;""> <td style=""width: 33.2861%; height: 18px;""><span style=""font-weight: normal;"">Name</span></td> <td style=""width: 33.2861%; height: 18px;""><span style=""font-weight: normal;"">E-mail</span></td> <td style=""width: 33.2861%; height: 18px;""><span style=""font-weight: normal;"">Phone number</span></td> </tr> <tr style=""height: 18px;""> <td style=""width: 33.2861%; height: 18px;"">{contact_name}</td> <td style=""width: 33.2861%; height: 18px;"">{contact_email}</td> <td style=""width: 33.2861%; height: 18px;"">{contact_phone_number}</td> </tr> </tbody> </table> <p> </p> <p>Before you can proceed to fill in descriptive information about the potential cluster, please confirm that the contact details are complete:</p> <p>{contact_details_complete}</p></div>",,,,,,,"[admits_trauma] = '1' and [interested] = '1' and [surgery_ortho_services] = '1' and [perc_trained] = '1' and ([volume] = '2' or [volume] = '3' or [volume] = '4')",,,,,,
contact_name,screening_call,,text,"Contact name",,,,,,y,,y,,,,,
contact_email,screening_call,,text,"Contact email",,,email,,,y,,y,,,,,
contact_phone_number,screening_call,,text,"Contact phone number",,,,,,y,,y,,,,,
contact_details_complete,screening_call,,radio,"Complete contact details","1, The contact details are complete",,,,,,,y,,,,,
perc_transferred_in,screening_call,"Cluster descriptive information",radio,"Out of the patients with trauma who present to the emergency department, what percentage are referrals or transfers from other hospitals?","1, < 20% | 2, 20-50% | 3, 51-80% | 4, > 80% | 5, Not sure","Comment: {perc_transferred_in_comment}",,,,,"[admits_trauma] = '1' and [interested] = '1' and [surgery_ortho_services] = '1' and [perc_trained] = '1' and ([volume] = '2' or [volume] = '3' or [volume] = '4') and [contact_details_complete] = '1'",y,,,,,
perc_transferred_in_comment,screening_call,,notes,Comment,,,,,,,,,,,,,
perc_transferred_out,screening_call,,radio,"Out of the patients with trauma who are admitted, what percentage are transferred to other hospitals?","1, < 10% | 2, 10-20% | 3, 21-30% | 4, >30% | 5, Not sure","Comment: {perc_transferred_out_comment}",,,,,"[admits_trauma] = '1' and [interested] = '1' and [surgery_ortho_services] = '1' and [perc_trained] = '1' and ([volume] = '2' or [volume] = '3' or [volume] = '4') and [contact_details_complete] = '1'",y,,,,,
perc_transferred_out_comment,screening_call,,notes,Comment,,,,,,,,,,,,,
initial_resuscitation,screening_call,,checkbox,"Who performs the initial resuscitation of trauma patients as they arrive to the hospital?","1, Casualty medical officers | 2, Emergency medicine residents | 3, Surgical residents | 4, Not sure","Comment: {initial_resuscitation_comment}",,,,,"[admits_trauma] = '1' and [interested] = '1' and [surgery_ortho_services] = '1' and [perc_trained] = '1' and ([volume] = '2' or [volume] = '3' or [volume] = '4') and [contact_details_complete] = '1'",y,,,,,
initial_resuscitation_comment,screening_call,,notes,Comment,,,,,,,,,,,,,
n_cmos,screening_call,,radio,"<div class=""rich-text-field-label""><p>How many CMOs work in the emergency department?</p> <p><span style=""font-weight: normal;"">This question is here to help us estimate the number of people we will need to train.</span></p></div>","1, < 10 | 2, 10-20 | 3, 21-30 | 4, > 30 | 5, Not sure","Comment: {n_cmos_comment}",,,,,"[admits_trauma] = '1' and [interested] = '1' and [surgery_ortho_services] = '1' and [perc_trained] = '1' and ([volume] = '2' or [volume] = '3' or [volume] = '4') and [contact_details_complete] = '1' and [initial_resuscitation(1)] = '1'",,,,,,
n_cmos_comment,screening_call,,notes,Comment,,,,,,,,,,,,,
n_residents,screening_call,,radio,"<div class=""rich-text-field-label""><p>How many emergency medicine/general surgery residents are admitted each year?</p> <p><span style=""font-weight: normal;"">This question is here to help us estimate the number of people we will need to train.</span></p></div>","1, < 10 | 2, 10-20 | 3, 21-30 | 4, > 30 | 5, Not sure","Comment: {n_residents_comment}",,,,,"[admits_trauma] = '1' and [interested] = '1' and [surgery_ortho_services] = '1' and [perc_trained] = '1' and ([volume] = '2' or [volume] = '3' or [volume] = '4') and [contact_details_complete] = '1' and ([initial_resuscitation(2)] = '1' or [initial_resuscitation(3)] = '1')",,,,,,
n_residents_comment,screening_call,,notes,Comment,,,,,,,,,,,,,
specialities,screening_call,,checkbox,"What specialities are available around the clock to care for trauma patients?","1, General surgery | 2, Orthopaedics | 3, Neurosurgery | 4, Vascular surgery | 5, Interventional radiology | 6, Emergency medicine | 7, Not sure","Comment: {specialities_comment}",,,,,"[admits_trauma] = '1' and [interested] = '1' and [surgery_ortho_services] = '1' and [perc_trained] = '1' and ([volume] = '2' or [volume] = '3' or [volume] = '4') and [contact_details_complete] = '1'",y,,,,,
specialities_comment,screening_call,,notes,Comment,,,,,,,,,,,,,
facilities,screening_call,,checkbox,"What facilities are available around the clock?","1, X-ray | 2, Ultrasound/FAST | 3, CT | 4, MRI | 5, Blood bank | 6, Not sure","Comment: {facilities_comment}",,,,,"[admits_trauma] = '1' and [interested] = '1' and [surgery_ortho_services] = '1' and [perc_trained] = '1' and ([volume] = '2' or [volume] = '3' or [volume] = '4') and [contact_details_complete] = '1'",y,,,,,
facilities_comment,screening_call,,notes,Comment,,,,,,,,,,,,,
hospital_beds,screening_call,,radio,"How many beds does the hospital have?","1, < 250 | 2, 250-500 | 3, 501-750 | 4, 751-1000 | 5, >1000 | 6, Not sure","Comment: {hospital_beds_comment}",,,,,"[admits_trauma] = '1' and [interested] = '1' and [surgery_ortho_services] = '1' and [perc_trained] = '1' and ([volume] = '2' or [volume] = '3' or [volume] = '4') and [contact_details_complete] = '1'",y,,,,,
hospital_beds_comment,screening_call,,notes,Comment,,,,,,,,,,,,,
icu_beds,screening_call,,radio,"How many ICU beds does the hospital have?","0, No ICU beds | 1, 1-10 | 2, 11-20 | 3, 21-30 | 4, > 30 | 5, Not sure","Comment: {icu_beds_comment}",,,,,"[admits_trauma] = '1' and [interested] = '1' and [surgery_ortho_services] = '1' and [perc_trained] = '1' and ([volume] = '2' or [volume] = '3' or [volume] = '4') and [contact_details_complete] = '1'",y,,,,,
icu_beds_comment,screening_call,,notes,Comment,,,,,,,,,,,,,
trauma_beds,screening_call,,radio,"How many dedicated trauma beds does the hospital have?","0, No dedicated trauma beds | 1, 1-10 | 2, 11-20 | 3, 21-30 | 4, > 30 | 5, Not sure","Comment: {trauma_beds_comment}",,,,,"[admits_trauma] = '1' and [interested] = '1' and [surgery_ortho_services] = '1' and [perc_trained] = '1' and ([volume] = '2' or [volume] = '3' or [volume] = '4') and [contact_details_complete] = '1'",y,,,,,
trauma_beds_comment,screening_call,,notes,Comment,,,,,,,,,,,,,
all_completed,screening_call,,descriptive,"Please submit the form once you have completed all questions above.",,,,,,,"[admits_trauma] = '1' and [interested] = '1' and [surgery_ortho_services] = '1' and [perc_trained] = '1' and ([volume] = '2' or [volume] = '3' or [volume] = '4') and [contact_details_complete] = '1'",,,,,,
tmg_screening_notes,screening_discussion_notes,"<div class=""rich-text-field-label""><p>Hospital name and address</p> <p><span style=""font-weight: normal;"">[hospital_address]</span></p></div>",notes,"Notes from trial management group screening discussions",,,,,,,,,,,,,
contact,screening_discussion_notes,,radio,"Should this hospital be contacted for a detailed screening interview?","1, Yes | 2, No | 3, Maybe later",,,,,,,,,,,,
contact_is_investigator,screening_interview,"<div class=""rich-text-field-label""><p>Hospital details</p> <p><span style=""font-weight: normal;"">[hospital_address]</span></p> <p> </p> <p>Contact person details</p> <table style=""border-collapse: collapse; width: 100%; border-width: 0px;"" border=""1""><colgroup><col style=""width: 18.227%;""><col style=""width: 81.773%;""></colgroup> <tbody> <tr> <td style=""border-width: 0px;"">Name</td> <td style=""border-width: 0px;""><span style=""font-weight: normal;"">[contact_name]</span></td> </tr> <tr> <td style=""border-width: 0px;"">E-mail</td> <td style=""border-width: 0px;""><span style=""font-weight: normal;"">[contact_email]</span></td> </tr> <tr> <td style=""border-width: 0px;"">Phone number</td> <td style=""border-width: 0px;""><span style=""font-weight: normal;"">[contact_phone_number]</span></td> </tr> </tbody> </table></div>",yesno,"Will you also be the site investigator?",,,,,,,,y,,,,,
investigator_contact_details,screening_interview,"Investigator details",descriptive,"<div class=""rich-text-field-label""><p>Please enter the name and contact details of the site investigator</p> <table style=""border-collapse: collapse; width: 100%; height: 73px; border-width: 0px;"" border=""1""><colgroup><col style=""width: 19.4326%;""><col style=""width: 80.5674%;""></colgroup> <tbody> <tr style=""height: 25px;""> <td style=""height: 25px; border-width: 0px;"">Name</td> <td style=""height: 25px; border-width: 0px;""><span style=""font-weight: normal;"">{investigator_name}</span></td> </tr> <tr style=""height: 24px;""> <td style=""border-width: 0px; height: 24px;"">E-mail</td> <td style=""border-width: 0px; height: 24px;""><span style=""font-weight: normal;"">{investigator_email}</span></td> </tr> <tr style=""height: 24px;""> <td style=""border-width: 0px; height: 24px;"">Phone number</td> <td style=""border-width: 0px; height: 24px;""><span style=""font-weight: normal;"">{investigator_phone_number}</span></td> </tr> </tbody> </table></div>",,,,,,y,"[contact_is_investigator] = '0'",y,,,,,
investigator_details,screening_interview,,descriptive,"<div class=""rich-text-field-label""><p>Please enter these additional investigator details</p> <table style=""border-collapse: collapse; width: 100%; height: 58px; border-width: 0px;"" border=""1""><colgroup><col style=""width: 19.4326%;""><col style=""width: 80.5674%;""></colgroup> <tbody> <tr style=""height: 10px;""> <td style=""height: 10px; border-width: 0px;"">Designation</td> <td style=""height: 10px; border-width: 0px;""><span style=""font-weight: normal;"">{investigator_designation}</span></td> </tr> <tr style=""height: 24px;""> <td style=""height: 24px; border-width: 0px;"">Specialization</td> <td style=""height: 24px; border-width: 0px;""><span style=""font-weight: normal;"">{investigator_specialization}</span></td> </tr> <tr style=""height: 24px;""> <td style=""height: 24px; border-width: 0px;"">MRC number</td> <td style=""height: 24px; border-width: 0px;""><span style=""font-weight: normal;"">{investigator_mrc_number}</span></td> </tr> </tbody> </table></div>",,,,,,y,,,,,,,
investigator_designation,screening_interview,,text,Designation,,,,,,,,y,,,,,
investigator_mrc_number,screening_interview,,text,"MRC number",,,,,,,,y,,,,,
investigator_specialization,screening_interview,,text,"Specialization  ",,,,,,,,y,,,,,
investigator_name,screening_interview,,text,"Investigator name",,,,,,y,,y,,,,,
investigator_email,screening_interview,,text,"Investigator e-mail",,,email,,,y,,y,,,,,
investigator_phone_number,screening_interview,,text,"Investigator phone number",,,,,,y,,y,,,,,
investigator_gcp,screening_interview,,yesno,"Is the investigator trained in International Council for Harmonisation, Guideline for Good Clinical Practice (ICH GCP)?",,,,,,,,y,,,,,
ethics_committee_cdsco,screening_interview,"Ethics committee details",yesno,"Does your hospital have an ethics committee registered with CDSCO?",,,,,,,,y,,,,,
ethics_committee_registration_number,screening_interview,,text,"Please enter the ethics committee registration number",,,,,,,"[ethics_committee_cdsco] = '1'",y,,,,,
trauma_care_organised,screening_interview,"Information about initial trauma care",notes,"<div class=""rich-text-field-label""><p>Can you please explain how initial trauma care is organised at your hospital?</p></div>",,"How do the patients typically arrive? Who is involved initially? What is the role of the casualty medical officers? What happens when additional expertise is needed? Are physicians organised in units? How big are those units?",,,,,,y,,,,,
eligible_volume_day,screening_interview,,text,"How many trauma patients aged 15 years or older are admitted per day, excluding patients with isolated limb injuries and those who are admitted directly to the ward?",,,,,,,,y,,,,,
inclusion_problems,screening_interview,,yesno,"We need to include at least 12 patients per month, do you see any problems with including that many patients at your site?",,,,,,,,y,,,,,
inclusion_problems_comment,screening_interview,,notes,"Can you please elaborate on those problems?",,,,,,,"[inclusion_problems] = '1'",y,,,,,
who_to_train,screening_interview,,notes,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">All hospitals in this trial will receive the intervention. The intervention is that we will train approximately 10 physicians providing initial trauma care in ATLS in your hospital. </span>Who do you think we should train to maximise the effect?</p></div>",,"Surgical residents? Emergency medicine residents? Casualty medical officers? Someone else??",,,,,,y,,,,,
arrange_visit,screening_interview,,notes,"If we would like to visit your hospital to observe trauma care delivery in the emergency department and talk to providers, how can that be arranged?",,,,,,,,y,,,,,
how_long_notice,screening_interview,,notes,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">The time point when the training will be implemented will be randomised, but there will be a minimum of three months between the start of the data collection and the training. The training will happen during a one month long ""transition period"". </span>How long notice do you need to plan the participation of the physicians from your hospital?</p></div>",,,,,,,,y,,,,,
